"","ko","log2FoldChange","padj","Factor","pathway","description"
"1","ko:K00643",1.44235219371426,2.38015867082151e-05,"Vibrio_Vibrio_vs_Control","path:ko00260","Glycine, serine and threonine metabolism"
"2","ko:K00643",1.44235219371426,2.38015867082151e-05,"Vibrio_Vibrio_vs_Control","path:ko01100","Metabolic pathways"
"3","ko:K00643",1.44235219371426,2.38015867082151e-05,"Vibrio_Vibrio_vs_Control","path:ko00860","Porphyrin and chlorophyll metabolism"
"4","ko:K00643",1.44235219371426,2.38015867082151e-05,"Vibrio_Vibrio_vs_Control","path:ko01110","Biosynthesis of secondary metabolites"
"5","ko:K01206",3.46697460252317,1.1550559629156e-06,"Vibrio_Vibrio_vs_Control","path:ko00511","Other glycan degradation"
"6","ko:K01251",2.12676676890401,0.000426725127558685,"Vibrio_Vibrio_vs_Control","path:ko01100","Metabolic pathways"
"7","ko:K01251",2.12676676890401,0.000426725127558685,"Vibrio_Vibrio_vs_Control","path:ko00270","Cysteine and methionine metabolism"
"8","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko04922","Glucagon signaling pathway"
"9","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko04931","Insulin resistance"
"10","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko00020","Citrate cycle (TCA cycle)"
"11","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko04920","Adipocytokine signaling pathway"
"12","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko04964","Proximal tubule bicarbonate reclamation"
"13","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko01120","Microbial metabolism in diverse environments"
"14","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko00010","Glycolysis / Gluconeogenesis"
"15","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko04152","AMPK signaling pathway"
"16","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko04910","Insulin signaling pathway"
"17","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko04068","FoxO signaling pathway"
"18","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko01130","Biosynthesis of antibiotics"
"19","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko03320","PPAR signaling pathway"
"20","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko04151","PI3K-Akt signaling pathway"
"21","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko00620","Pyruvate metabolism"
"22","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko01110","Biosynthesis of secondary metabolites"
"23","ko:K01596",3.06398823942534,1.79795427108943e-29,"Vibrio_Vibrio_vs_Control","path:ko01100","Metabolic pathways"
"24","ko:K01681",1.37377980666477,0.00405535006644059,"Vibrio_Vibrio_vs_Control","path:ko01130","Biosynthesis of antibiotics"
"25","ko:K01681",1.37377980666477,0.00405535006644059,"Vibrio_Vibrio_vs_Control","path:ko01230","Biosynthesis of amino acids"
"26","ko:K01681",1.37377980666477,0.00405535006644059,"Vibrio_Vibrio_vs_Control","path:ko01110","Biosynthesis of secondary metabolites"
"27","ko:K01681",1.37377980666477,0.00405535006644059,"Vibrio_Vibrio_vs_Control","path:ko01100","Metabolic pathways"
"28","ko:K01681",1.37377980666477,0.00405535006644059,"Vibrio_Vibrio_vs_Control","path:ko01120","Microbial metabolism in diverse environments"
"29","ko:K01681",1.37377980666477,0.00405535006644059,"Vibrio_Vibrio_vs_Control","path:ko01210","2-Oxocarboxylic acid metabolism"
"30","ko:K01681",1.37377980666477,0.00405535006644059,"Vibrio_Vibrio_vs_Control","path:ko01200","Carbon metabolism"
"31","ko:K01681",1.37377980666477,0.00405535006644059,"Vibrio_Vibrio_vs_Control","path:ko00720","Carbon fixation pathways in prokaryotes"
"32","ko:K01681",1.37377980666477,0.00405535006644059,"Vibrio_Vibrio_vs_Control","path:ko00630","Glyoxylate and dicarboxylate metabolism"
"33","ko:K01681",1.37377980666477,0.00405535006644059,"Vibrio_Vibrio_vs_Control","path:ko00020","Citrate cycle (TCA cycle)"
"34","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko05133","Pertussis"
"35","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04022","cGMP-PKG signaling pathway"
"36","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04971","Gastric acid secretion"
"37","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04728","Dopaminergic synapse"
"38","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04114","Oocyte meiosis"
